Element	Charge 	Coordination 	Spin	Crystal Radius	Ionic Radius   	Key
Te	-2	VI	 	2.07	2.21	P
I	-1	VI	 	2.06	2.2	A
Se	-2	VI	 	1.84	1.98	P
Br	-1	VI	 	1.82	1.96	P
Cs	1	XII	 	2.02	1.88	 
Cs	1	XI	 	1.99	1.85	 
S	-2	VI	 	1.7	1.84	P
Rb	1	XIV	 	1.97	1.83	 
Cl	-1	VI	 	1.67	1.81	P
Cs	1	X	 	1.95	1.81	 
Fr	1	VI	 	1.94	1.8	A
Cs	1	IX	 	1.92	1.78	 
Cs	1	VIII	 	1.88	1.74	 
Rb	1	XII	 	1.86	1.72	 
Ra	2	XII	 	1.84	1.7	R
Tl	1	XII	 	1.84	1.7	RE
Rb	1	XI	 	1.83	1.69	 
Cs	1	VI	 	1.81	1.67	 
Rb	1	X	 	1.8	1.66	 
K	1	XII	 	1.78	1.64	 
Rb	1	IX	 	1.77	1.63	E
Ba	2	XII	 	1.75	1.61	C
Rb	1	VIII	 	1.75	1.61	 
K	1	X	 	1.73	1.59	 
Tl	1	VIII	 	1.73	1.59	R
Ba	2	XI	 	1.71	1.57	 
Rb	1	VII	 	1.7	1.56	 
K	1	IX	 	1.69	1.55	 
Ba	2	X	 	1.66	1.52	 
Rb	1	VI	 	1.66	1.52	 
K	1	VIII	 	1.65	1.51	 
Tl	1	VI	 	1.64	1.5	R
Pb	2	XII	 	1.63	1.49	 
Ra	2	VIII	 	1.62	1.48	R
Ba	2	IX	 	1.61	1.47	 
K	1	VII	 	1.6	1.46	 
N	-3	IV	 	1.32	1.46	 
Pb	2	XI	 	1.59	1.45	C
Sr	2	XII	 	1.58	1.44	C
Ba	2	VIII	 	1.56	1.42	 
O	-2	VIII	 	1.28	1.42	 
O	-2	VI	 	1.26	1.4	 
Pb	2	X	 	1.54	1.4	C
Na	1	XII	 	1.53	1.39	 
Ba	2	VII	 	1.52	1.38	C
K	1	VI	 	1.52	1.38	 
O	-2	IV	 	1.24	1.38	 
Au	1	VI	 	1.51	1.37	A
K	1	IV	 	1.51	1.37	 
OH	-1	VI	 	1.23	1.37	E
La	3	XII	 	1.5	1.36	C
O	-2	III	 	1.22	1.36	 
Sr	2	X	 	1.5	1.36	C
Ba	2	VI	 	1.49	1.35	 
Eu	2	X	 	1.49	1.35	 
Nd	2	IX	 	1.49	1.35	 
O	-2	II	 	1.21	1.35	 
OH	-1	IV	 	1.21	1.35	E
Pb	2	IX	 	1.49	1.35	C
Ca	2	XII	 	1.48	1.34	C
Ce	3	XII	 	1.48	1.34	C
OH	-1	III	 	1.2	1.34	 
F	-1	VI	 	1.19	1.33	 
OH	-1	II	 	1.18	1.32	 
Sm	2	IX	 	1.46	1.32	 
Am	2	IX	 	1.45	1.31	 
Cd	2	XII	 	1.45	1.31	 
F	-1	IV	 	1.17	1.31	 
Sr	2	IX	 	1.45	1.31	 
Eu	2	IX	 	1.44	1.3	 
F	-1	III	 	1.16	1.3	 
Nd	2	VIII	 	1.43	1.29	 
Pb	2	VIII	 	1.43	1.29	C
F	-1	II	 	1.145	1.285	 
Ag	1	VIII	 	1.42	1.28	 
La	3	X	 	1.41	1.27	 
Nd	3	XII	 	1.41	1.27	E
Sm	2	VIII	 	1.41	1.27	 
Am	2	VIII	 	1.4	1.26	 
Sr	2	VIII	 	1.4	1.26	 
Ce	3	X	 	1.39	1.25	 
Eu	2	VIII	 	1.39	1.25	 
Na	1	IX	 	1.38	1.24	C
Sm	3	XII	 	1.38	1.24	C
Ca	2	X	 	1.37	1.23	C
Pb	2	VII	 	1.37	1.23	C
Ag	1	VII	 	1.36	1.22	 
Sm	2	VII	 	1.36	1.22	 
La	3	IX	 	1.356	1.216	R
Am	2	VII	 	1.35	1.21	 
Sr	2	VII	 	1.35	1.21	 
Th	4	XII	 	1.35	1.21	C
Eu	2	VII	 	1.34	1.2	 
Ce	3	IX	 	1.336	1.196	R
