"lon","lat","T-at-40km(Moho)","T-at-50km","T-at-100km","T-at-150km","T-at-200km","depth-to-550oC","depth-to-900oC","depth-to-1300oC"
-180,-90,701,787,1217,1300,1300,31,63,109
-180,-85,728,820,1253,1300,1300,30,59,103
-180,-80,764,861,1299,1299,1299,28,53,94
-180,65,547,606,904,1188,1300,41,99,167
-180,70,787,889,1300,1300,1300,27,48,87
-175,-90,694,779,1208,1300,1300,31,64,111
-175,-85,764,861,1299,1299,1299,28,53,94
-175,-80,764,861,1300,1300,1300,28,53,94
-175,65,540,598,891,1185,1299,41,101,169
-175,70,721,811,1222,1278,1299,31,62,109
-170,-90,694,779,1208,1300,1300,31,64,111
-170,-85,764,861,1299,1299,1299,28,53,94
-170,-80,764,861,1300,1300,1300,28,53,94
-170,65,602,672,1006,1217,1300,38,88,148
-170,70,685,769,1156,1259,1300,33,70,121
-165,-90,687,771,1192,1299,1299,31,65,113
-165,-85,764,861,1299,1299,1299,28,53,94
-165,-80,764,861,1300,1300,1300,28,53,94
-165,60,764,861,1300,1300,1300,28,53,94
-165,65,764,861,1300,1300,1300,28,53,94
-165,70,695,781,1174,1264,1300,32,68,117
-160,-90,673,754,1162,1300,1300,32,68,117
-160,-85,764,861,1299,1299,1299,28,53,94
-160,-80,764,861,1300,1300,1300,28,53,94
-160,-75,764,861,1300,1300,1300,28,53,94
-160,55,764,861,1299,1299,1299,28,53,94
-160,60,764,861,1300,1300,1300,28,53,94
-160,65,764,861,1300,1300,1300,28,53,94
-160,70,540,598,891,1185,1300,41,101,169
-155,-90,688,772,1194,1300,1300,31,65,112
-155,-85,764,861,1299,1299,1299,28,53,94
-155,-80,764,861,1299,1299,1299,28,53,94
-155,-75,764,861,1300,1299,1299,28,53,94
-155,55,764,861,1300,1300,1300,28,53,94
-155,60,764,861,1299,1299,1299,28,53,94
-155,65,764,861,1299,1299,1299,28,53,94
-155,70,540,598,891,1185,1299,41,101,169
-150,-90,683,767,1184,1300,1300,32,66,114
-150,-85,764,861,1299,1299,1299,28,53,94
-150,-80,764,861,1299,1299,1299,28,53,94
-150,-75,764,861,1299,1299,1299,28,53,94
-150,60,764,861,1299,1299,1299,28,53,94
-150,65,764,861,1299,1299,1299,28,53,94
-150,70,540,598,891,1185,1299,41,101,169
-145,-90,694,779,1208,1300,1300,31,64,111
-145,-85,764,861,1299,1299,1299,28,53,94
-145,-80,764,861,1300,1300,1300,28,53,94
-145,-75,764,861,1300,1300,1300,28,53,94
-145,60,764,861,1299,1299,1299,28,53,94
-145,65,764,861,1299,1299,1299,28,53,94
-145,70,540,598,891,1185,1299,41,101,169
-140,-90,694,779,1208,1300,1300,31,64,111
-140,-85,764,861,1299,1299,1299,28,53,94
-140,-80,764,861,1300,1300,1300,28,53,94
-140,-75,764,861,1299,1300,1300,28,53,94
-140,60,764,861,1300,1300,1300,28,53,94
-140,65,764,861,1299,1299,1299,28,53,94
-140,70,574,638,953,1202,1299,39,94,158
-135,-90,694,779,1208,1300,1300,31,64,111
-135,-85,764,861,1299,1299,1299,28,53,94
-135,-80,764,861,1300,1300,1300,28,53,94
-135,-75,764,861,1299,1299,1299,28,53,94
-135,55,723,813,1244,1300,1300,30,59,104
-135,60,695,780,1206,1299,1299,31,64,110
-135,65,764,861,1299,1299,1299,28,53,94
-135,70,735,828,1248,1287,1299,30,59,103
-130,-90,695,780,1208,1299,1299,31,63,110
-130,-85,764,861,1299,1299,1299,28,53,94
-130,-80,764,861,1299,1299,1299,28,53,94
-130,-75,764,861,1299,1299,1299,28,53,94
-130,50,743,837,1271,1299,1299,29,56,99
-130,55,648,724,1108,1299,1299,33,72,124
-130,60,648,724,1108,1299,1299,33,72,124
-130,65,648,724,1108,1299,1299,33,72,125
-130,70,548,607,907,1206,1300,40,98,165
-125,-90,694,779,1208,1300,1300,31,64,111
-125,-85,764,861,1299,1299,1299,28,53,94
-125,-80,764,861,1300,1300,1300,28,53,94
-125,-75,764,861,1300,1300,1300,28,53,94
-125,35,764,861,1300,1300,1300,28,53,94
-125,40,764,861,1300,1300,1300,28,53,94
-125,45,756,853,1290,1299,1299,29,54,96
-125,50,695,780,1206,1299,1299,31,64,111
-125,55,695,780,1206,1299,1299,31,64,110
-125,60,648,724,1108,1300,1300,33,72,124
-125,65,548,607,907,1206,1299,40,98,165
-125,70,548,607,907,1206,1299,40,98,165
-125,75,524,580,861,1142,1299,44,106,178
-120,-90,663,742,1140,1299,1299,33,69,120
-120,-85,764,861,1299,1299,1299,28,53,94
-120,-80,764,861,1299,1299,1299,28,53,94
-120,-75,764,861,1299,1299,1299,28,53,94
-120,30,764,861,1300,1300,1300,28,53,94
-120,35,764,861,1300,1300,1300,28,53,94
-120,40,764,861,1300,1300,1300,28,53,94
-120,45,764,861,1299,1299,1299,28,53,94
-120,50,764,861,1299,1300,1300,28,53,94
-120,55,619,690,1049,1300,1300,35,79,134
-120,60,605,675,1022,1299,1299,36,82,139
-120,65,540,598,891,1185,1300,41,101,169
-120,70,540,598,891,1184,1299,41,101,169
-120,75,528,584,868,1151,1299,43,105,176
-115,-90,649,726,1111,1299,1299,33,72,124
-115,-85,764,861,1299,1299,1299,28,53,94
-115,-80,764,861,1300,1300,1300,28,53,94
-115,-75,764,861,1299,1299,1299,28,53,94
-115,25,764,861,1300,1300,1300,28,53,94
-115,30,764,861,1299,1299,1299,28,53,94
-115,35,605,675,1022,1299,1299,36,82,139
-115,40,764,861,1300,1300,1300,28,53,94
-115,45,764,861,1299,1299,1299,28,53,94
-115,50,764,861,1300,1300,1300,28,53,94
-115,55,581,646,973,1299,1299,37,88,149
-115,60,540,598,891,1185,1300,41,101,169
-115,65,548,607,907,1206,1300,40,98,165
-115,70,548,607,907,1206,1300,40,98,165
-115,75,555,616,921,1226,1299,39,96,162
-110,-90,651,729,1115,1300,1300,33,72,123
-110,-85,764,861,1299,1299,1299,28,53,94
-110,-80,764,861,1299,1299,1299,28,53,94
-110,-75,764,861,1300,1299,1299,28,53,94
-110,25,764,861,1299,1299,1299,28,53,94
-110,30,764,861,1299,1299,1299,28,53,94
-110,35,605,675,1022,1299,1299,36,82,139
-110,40,605,675,1022,1299,1299,36,82,140
-110,45,605,675,1022,1299,1299,36,82,139
-110,50,488,539,792,1046,1299,52,121,199
-110,55,488,539,792,1046,1300,52,121,200
-110,60,488,539,792,1046,1299,52,121,199
-110,65,377,412,590,767,945,88,187,299
-110,70,488,539,792,1046,1299,52,121,199
-110,75,488,539,792,1046,1300,52,121,200
-105,-90,652,729,1117,1300,1300,33,71,123
-105,-85,764,861,1299,1299,1299,28,53,94
-105,-80,764,861,1300,1300,1300,28,53,94
-105,-75,764,861,1300,1299,1299,28,53,94
-105,20,764,861,1299,1300,1300,28,53,94
-105,25,764,861,1299,1299,1299,28,53,94
-105,30,764,861,1299,1300,1300,28,53,94
-105,35,605,675,1022,1300,1300,36,82,140
-105,40,605,675,1022,1299,1299,36,82,139
-105,45,605,675,1022,1299,1299,36,82,139
-105,50,488,539,792,1046,1300,52,121,200
-105,55,488,539,792,1046,1299,52,121,200
-105,60,488,539,792,1046,1300,52,121,199
-105,65,540,598,891,1185,1299,41,101,169
-105,70,488,539,792,1046,1300,52,121,199
-105,75,483,533,782,1040,1300,52,122,202
-105,80,705,792,1226,1300,1300,31,62,108
-100,-90,652,729,1117,1299,1299,33,71,123
-100,-85,764,861,1299,1299,1299,28,53,94
-100,-80,764,861,1299,1299,1299,28,53,94
-100,-75,764,861,1300,1300,1300,28,53,94
-100,-70,699,785,1214,1300,1300,31,63,110
-100,15,791,894,1300,1300,1300,27,48,86
-100,20,764,861,1299,1299,1299,28,53,94
-100,25,703,789,1222,1299,1299,31,62,108
-100,30,630,703,1071,1299,1299,34,76,131
-100,35,630,703,1071,1299,1299,34,76,131
-100,40,605,675,1022,1300,1300,36,82,139
-100,45,552,612,915,1218,1299,39,97,163
-100,50,486,536,788,1040,1291,52,122,201
-100,55,533,591,879,1167,1299,42,103,173
-100,60,399,437,629,821,1012,79,170,274
-100,65,399,437,629,821,1012,79,170,275
-100,70,497,550,813,1076,1197,53,123,203
-100,75,703,790,1223,1299,1299,31,62,108
-100,80,675,757,1166,1280,1299,32,69,119
-95,-90,652,729,1117,1299,1299,33,71,123
-95,-85,764,861,1299,1299,1299,28,53,94
-95,-80,764,861,1299,1299,1299,28,53,94
-95,-75,764,861,1299,1299,1299,28,53,94
-95,-70,764,861,1300,1300,1300,28,53,94
-95,15,784,885,1300,1300,1300,27,50,89
-95,20,709,797,1245,1300,1300,30,60,105
-95,25,713,802,1243,1300,1300,30,60,105
-95,30,703,789,1222,1299,1299,31,62,108
-95,35,605,675,1022,1299,1299,36,82,139
-95,40,605,675,1022,1299,1299,36,82,139
-95,45,536,594,884,1174,1300,42,102,171
-95,50,499,551,813,1074,1299,49,116,193
-95,55,540,598,891,1185,1299,41,101,169
-95,60,399,437,629,821,1012,79,170,275
-95,65,399,437,629,821,1012,79,170,275
-95,70,399,437,629,821,1012,79,170,275
-95,75,494,546,804,1062,1300,50,118,195
-95,80,703,790,1223,1299,1300,31,62,108
-90,-90,652,729,1117,1300,1300,33,71,123
-90,-85,764,861,1299,1299,1299,28,53,94
-90,-80,764,861,1300,1300,1300,28,53,94
-90,-75,764,861,1300,1300,1300,28,53,94
-90,-70,764,861,1300,1300,1300,28,53,94
-90,10,764,861,1300,1300,1300,28,53,94
-90,15,764,861,1299,1299,1299,28,53,94
-90,20,703,789,1222,1300,1300,31,62,109
-90,30,703,789,1222,1300,1300,31,62,109
-90,35,621,694,1054,1300,1300,35,78,134
-90,40,605,675,1022,1300,1300,36,82,139
-90,45,579,644,968,1293,1299,37,89,150
-90,50,501,553,816,1079,1300,49,115,191
-90,55,486,536,788,1040,1291,52,122,201
-90,60,472,520,764,1008,1160,59,134,220
-90,65,399,437,629,821,1012,79,170,274
-90,70,393,430,617,804,999,80,173,279
-90,75,540,598,891,1185,1299,41,101,169
-90,80,703,790,1223,1300,1299,31,62,108
-90,85,605,675,1024,1231,1299,37,85,145
-85,-90,652,729,1117,1299,1299,33,71,123
-85,-85,764,861,1299,1299,1299,28,53,94
-85,-80,664,743,1141,1299,1299,33,69,119
-85,-75,764,861,1299,1299,1299,28,53,94
-85,-70,764,861,1299,1300,1300,28,53,94
-85,10,764,861,1300,1300,1300,28,53,94
-85,15,764,861,1299,1300,1300,28,53,94
-85,20,739,832,1268,1299,1299,29,57,100
-85,25,701,787,1198,1299,1299,31,64,111
-85,30,624,697,1060,1299,1299,35,77,132
-85,35,624,697,1060,1300,1300,35,77,132
-85,40,616,687,1042,1300,1300,35,79,136
-85,45,554,615,919,1299,1300,39,96,162
-85,50,489,540,794,1047,1299,51,120,199
-85,55,540,598,891,1185,1300,41,101,169
-85,65,548,607,907,1206,1299,40,98,165
-85,70,399,437,629,821,1012,79,170,274
-85,75,703,790,1223,1300,1300,31,62,108
-85,80,703,790,1223,1300,1300,31,62,108
-85,85,703,790,1223,1300,1300,31,62,108
-80,-90,652,729,1117,1300,1300,33,71,123
-80,-85,764,861,1299,1299,1299,28,53,94
-80,-80,664,743,1141,1300,1300,33,69,120
-80,-75,764,861,1300,1300,1300,28,53,94
-80,-10,485,536,787,1041,1299,52,121,201
-80,-5,488,539,792,1046,1299,52,121,199
-80,0,488,539,792,1046,1299,52,121,199
-80,5,620,694,1035,1162,1299,41,89,150
-80,10,764,861,1300,1300,1300,28,53,94
-80,20,764,861,1300,1300,1300,28,53,94
